iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
4,0,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.214367,0.176045,0.199557,0.038321999999999995,15,0.214367,0.176045,0.199557,0.038321999999999995
4,1,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.198316,0.228718,0.184612,0.013703999999999994,15,0.198316,0.228718,0.184612,0.013703999999999994
4,2,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.198156,0.231993,0.230075,-0.031919,15,0.198156,0.231993,0.230075,-0.031919
4,3,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.199494,0.222574,0.230256,-0.02307999999999999,15,0.199494,0.222574,0.230256,-0.02307999999999999
4,4,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.200784,0.240112,0.207372,-0.0065880000000000105,15,0.200784,0.240112,0.207372,-0.0065880000000000105
4,5,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.205977,0.253185,0.212787,-0.0068100000000000105,15,0.205977,0.253185,0.212787,-0.0068100000000000105
4,6,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.194377,0.218932,0.197278,-0.0029010000000000147,15,0.194377,0.218932,0.197278,-0.0029010000000000147
4,7,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.193976,0.244875,0.204233,-0.010256999999999988,15,0.193976,0.244875,0.204233,-0.010256999999999988
4,8,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.186492,0.220049,0.185201,0.0012909999999999866,15,0.186492,0.220049,0.185201,0.0012909999999999866
4,9,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.205985,0.208902,0.179333,0.02665200000000001,15,0.205985,0.208902,0.179333,0.02665200000000001
4,10,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.202816,0.214506,0.232807,-0.011690000000000006,15,0.202816,0.214506,0.232807,-0.011690000000000006
4,11,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.196506,0.215004,0.193125,0.003380999999999995,15,0.196506,0.215004,0.193125,0.003380999999999995
4,12,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.200748,0.189525,0.205394,0.01122300000000001,15,0.200748,0.189525,0.205394,0.01122300000000001
4,13,0,"{'alpha': 1, 'gamma': 10, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.197627,0.212729,0.21248,-0.014853000000000005,15,0.197627,0.212729,0.21248,-0.014853000000000005
