iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
5,0,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,9,0.484661,0.389126,0.452441,0.09553499999999998,15,0.591714,0.470241,0.56704,0.12147299999999994
5,1,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.53775,0.590275,0.506701,0.031048999999999993,15,0.53775,0.590275,0.506701,0.031048999999999993
5,2,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.561141,0.614862,0.612401,-0.05125999999999997,15,0.561141,0.614862,0.612401,-0.05125999999999997
5,3,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.565765,0.569406,0.613623,-0.0036410000000000053,15,0.565765,0.569406,0.613623,-0.0036410000000000053
5,4,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.554089,0.649058,0.534979,0.01911000000000007,15,0.554089,0.649058,0.534979,0.01911000000000007
5,5,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.558126,0.629203,0.57692,-0.018793999999999977,15,0.558126,0.629203,0.57692,-0.018793999999999977
5,6,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.548951,0.579055,0.564324,-0.015373000000000081,15,0.548951,0.579055,0.564324,-0.015373000000000081
5,7,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.538883,0.645041,0.579637,-0.04075399999999996,15,0.538883,0.645041,0.579637,-0.04075399999999996
5,8,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.518938,0.62016,0.54442,-0.025482000000000005,15,0.518938,0.62016,0.54442,-0.025482000000000005
5,9,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.574406,0.570535,0.487235,0.087171,15,0.574406,0.570535,0.487235,0.087171
5,10,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.552958,0.592173,0.608864,-0.039215,15,0.552958,0.592173,0.608864,-0.039215
5,11,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.546193,0.57332,0.55991,-0.01371699999999998,15,0.546193,0.57332,0.55991,-0.01371699999999998
5,12,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.557103,0.530541,0.563765,0.026561999999999975,15,0.557103,0.530541,0.563765,0.026561999999999975
5,13,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.546821,0.575957,0.565792,-0.01897099999999996,15,0.546821,0.575957,0.565792,-0.01897099999999996
5,14,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.548995,0.554518,0.595172,-0.005522999999999945,15,0.548995,0.554518,0.595172,-0.005522999999999945
5,15,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.556294,0.581697,0.591855,-0.025403000000000064,15,0.556294,0.581697,0.591855,-0.025403000000000064
5,16,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.548759,0.537458,0.549485,0.011301000000000005,15,0.548759,0.537458,0.549485,0.011301000000000005
5,17,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,4,0.315872,0.335386,0.2262,0.08967199999999997,15,0.59689,0.627532,0.440569,0.15632100000000004
5,18,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.553005,0.546459,0.625203,0.006545999999999941,15,0.553005,0.546459,0.625203,0.006545999999999941
5,19,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.574462,0.633108,0.547727,0.026735000000000064,15,0.574462,0.633108,0.547727,0.026735000000000064
5,20,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,5,0.378096,0.287858,0.324184,0.09023799999999998,15,0.615451,0.473607,0.53648,0.14184399999999997
5,21,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,5,0.371019,0.271952,0.350316,0.09906699999999996,15,0.614062,0.45543,0.558923,0.158632
5,22,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.573247,0.480759,0.570778,0.09248799999999996,15,0.573247,0.480759,0.570778,0.09248799999999996
5,23,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.54491,0.519393,0.574955,0.025517000000000012,15,0.54491,0.519393,0.574955,0.025517000000000012
5,24,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.56277,0.5886,0.559486,0.0032839999999999536,15,0.56277,0.5886,0.559486,0.0032839999999999536
5,25,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.551173,0.596533,0.600809,-0.045359999999999956,15,0.551173,0.596533,0.600809,-0.045359999999999956
5,26,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,4,0.31655,0.218146,0.300194,0.09840399999999999,15,0.593021,0.421195,0.566481,0.17182600000000003
5,27,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,14,0.587583,0.563961,0.492066,0.09551699999999996,15,0.602857,0.575616,0.500158,0.10269899999999998
5,28,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.557189,0.56939,0.548101,0.009088000000000096,15,0.557189,0.56939,0.548101,0.009088000000000096
5,29,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.572855,0.5201,0.604914,0.052754999999999996,15,0.572855,0.5201,0.604914,0.052754999999999996
5,30,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.556078,0.636959,0.586383,-0.030305000000000026,15,0.556078,0.636959,0.586383,-0.030305000000000026
5,31,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.559773,0.637764,0.560276,-0.0005030000000000312,15,0.559773,0.637764,0.560276,-0.0005030000000000312
5,32,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.544536,0.566338,0.600293,-0.021801999999999988,15,0.544536,0.566338,0.600293,-0.021801999999999988
5,33,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.553506,0.623152,0.589809,-0.036302999999999974,15,0.553506,0.623152,0.589809,-0.036302999999999974
5,34,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.564267,0.530065,0.576159,0.034201999999999955,15,0.564267,0.530065,0.576159,0.034201999999999955
5,35,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.543374,0.625581,0.583561,-0.04018699999999997,15,0.543374,0.625581,0.583561,-0.04018699999999997
5,36,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,10,0.513055,0.471125,0.419625,0.09343000000000001,15,0.605342,0.542957,0.480733,0.12460900000000003
5,37,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,4,0.325222,0.229669,0.269399,0.095553,15,0.605729,0.433194,0.494582,0.17253499999999994
5,38,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.542259,0.529719,0.594154,0.012539999999999996,15,0.542259,0.529719,0.594154,0.012539999999999996
5,39,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.540795,0.649343,0.622447,-0.08165199999999995,15,0.540795,0.649343,0.622447,-0.08165199999999995
5,40,0,"{'alpha': 5, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.7}",16,15,0.572404,0.506717,0.547809,0.06568700000000005,15,0.572404,0.506717,0.547809,0.06568700000000005
