iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
6,0,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,5,0.437294,0.339237,0.385288,0.098057,15,0.693437,0.499452,0.64703,0.19398499999999996
6,1,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.657041,0.654433,0.600851,0.05618999999999996,15,0.657041,0.654433,0.600851,0.05618999999999996
6,2,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.654928,0.644489,0.656063,0.010438999999999976,15,0.654928,0.644489,0.656063,0.010438999999999976
6,3,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.663609,0.597627,0.647255,0.06598199999999999,15,0.663609,0.597627,0.647255,0.06598199999999999
6,4,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.662174,0.721648,0.583474,0.07869999999999999,15,0.662174,0.721648,0.583474,0.07869999999999999
6,5,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.653294,0.657401,0.622211,0.031083000000000083,15,0.653294,0.657401,0.622211,0.031083000000000083
6,6,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.634897,0.630829,0.658829,0.0040680000000000716,15,0.634897,0.630829,0.658829,0.0040680000000000716
6,7,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.634029,0.697768,0.648248,-0.014219000000000093,15,0.634029,0.697768,0.648248,-0.014219000000000093
6,8,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.619046,0.671808,0.61587,0.0031759999999999566,15,0.619046,0.671808,0.61587,0.0031759999999999566
6,9,0,"{'alpha': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 0.01, 'reg_lambda': 1, 'subsample': 0.5}",16,8,0.534112,0.476418,0.437111,0.097001,15,0.689427,0.603167,0.521112,0.168315
