iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
9,0,2,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.33797,0.303167,0.248494,0.089476,15,0.33797,0.303167,0.248494,0.089476
9,1,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.32804,0.321621,0.274167,0.053873000000000004,15,0.32804,0.321621,0.274167,0.053873000000000004
9,2,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.344106,0.337896,0.340103,0.006210000000000049,15,0.344106,0.337896,0.340103,0.006210000000000049
9,3,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.346693,0.326549,0.328387,0.020143999999999995,15,0.346693,0.326549,0.328387,0.020143999999999995
9,4,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.342056,0.370768,0.295476,0.04658000000000001,15,0.342056,0.370768,0.295476,0.04658000000000001
9,5,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.344923,0.337584,0.303507,0.04141599999999995,15,0.344923,0.337584,0.303507,0.04141599999999995
9,6,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.334308,0.31032,0.305209,0.029098999999999986,15,0.334308,0.31032,0.305209,0.029098999999999986
9,7,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.338617,0.347272,0.300044,0.038573000000000024,15,0.338617,0.347272,0.300044,0.038573000000000024
9,8,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,15,0.326074,0.352398,0.297974,0.02809999999999996,15,0.326074,0.352398,0.297974,0.02809999999999996
9,9,0,"{'alpha': 5, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.7}",16,14,0.339234,0.289574,0.244525,0.09470899999999999,15,0.358254,0.304453,0.255189,0.10306500000000002
