iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
7,0,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.141855,0.110875,0.124392,0.030980000000000008,15,0.141855,0.110875,0.124392,0.030980000000000008
7,1,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.135124,0.150417,0.122168,0.012955999999999995,15,0.135124,0.150417,0.122168,0.012955999999999995
7,2,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.131755,0.150374,0.149198,-0.017442999999999986,15,0.131755,0.150374,0.149198,-0.017442999999999986
7,3,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.134412,0.146348,0.147661,-0.011936000000000002,15,0.134412,0.146348,0.147661,-0.011936000000000002
7,4,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.133467,0.156424,0.138966,-0.005499000000000004,15,0.133467,0.156424,0.138966,-0.005499000000000004
7,5,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.137905,0.16005,0.136884,0.0010209999999999941,15,0.137905,0.16005,0.136884,0.0010209999999999941
7,6,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.132487,0.140111,0.12534,0.007146999999999987,15,0.132487,0.140111,0.12534,0.007146999999999987
7,7,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.129778,0.160295,0.133578,-0.003799999999999998,15,0.129778,0.160295,0.133578,-0.003799999999999998
7,8,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.126337,0.139916,0.117524,0.008813000000000001,15,0.126337,0.139916,0.117524,0.008813000000000001
7,9,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.137777,0.135779,0.119293,0.018484000000000014,15,0.137777,0.135779,0.119293,0.018484000000000014
7,10,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.136625,0.137984,0.151143,-0.001358999999999999,15,0.136625,0.137984,0.151143,-0.001358999999999999
7,11,0,"{'alpha': 5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 0.01, 'reg_lambda': 10, 'subsample': 0.5}",16,15,0.132358,0.14441,0.122664,0.009694000000000008,15,0.132358,0.14441,0.122664,0.009694000000000008
