iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
0,0,1,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.692031,0.77738,0.768848,-0.07681700000000002,15,0.692031,0.77738,0.768848,-0.07681700000000002
0,1,2,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.710345,0.749083,0.708232,0.0021130000000000315,15,0.710345,0.749083,0.708232,0.0021130000000000315
0,2,1,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.682006,0.780854,0.76801,-0.08600399999999997,15,0.682006,0.780854,0.76801,-0.08600399999999997
0,3,0,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.711792,0.751763,0.753463,-0.03997099999999998,15,0.711792,0.751763,0.753463,-0.03997099999999998
0,4,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.710103,0.763221,0.696281,0.013822000000000001,15,0.710103,0.763221,0.696281,0.013822000000000001
0,5,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.723932,0.728409,0.729276,-0.004476999999999953,15,0.723932,0.728409,0.729276,-0.004476999999999953
0,6,0,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.690473,0.753418,0.742265,-0.05179199999999995,15,0.690473,0.753418,0.742265,-0.05179199999999995
0,7,0,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.692377,0.795565,0.752798,-0.06042099999999995,15,0.692377,0.795565,0.752798,-0.06042099999999995
0,8,0,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.681894,0.792307,0.747309,-0.065415,15,0.681894,0.792307,0.747309,-0.065415
0,9,1,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,9,0.668855,0.696793,0.570875,0.09797999999999996,15,0.743794,0.769865,0.63717,0.10662399999999994
0,10,3,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.710104,0.774596,0.740455,-0.030351000000000017,15,0.710104,0.774596,0.740455,-0.030351000000000017
0,11,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.697471,0.756178,0.733701,-0.036230000000000095,15,0.697471,0.756178,0.733701,-0.036230000000000095
0,12,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.708624,0.773358,0.745413,-0.03678899999999996,15,0.708624,0.773358,0.745413,-0.03678899999999996
0,13,1,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.696905,0.768367,0.783359,-0.07146200000000003,15,0.696905,0.768367,0.783359,-0.07146200000000003
0,14,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.706885,0.777588,0.776165,-0.06928000000000001,15,0.706885,0.777588,0.776165,-0.06928000000000001
0,15,4,"{'alpha': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 0.01, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.692472,0.777302,0.736845,-0.044372999999999996,15,0.692472,0.777302,0.736845,-0.044372999999999996
