Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine,Age
TOYOTA,COROLLA,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_c89d654eb8b5409ea15e191398cbe26f.webp,2007,158000.0,gasolina,otros,Lima,negro,4.0,tela,1987.0,17
FOTON,TUNLAND,4x4,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/foton/tunland/pe/RT_PU_20641f8596ba4d0cae1ad1b477974f73.webp,2017,191107.0,diesel,mecanica,Lima,blanco,4.0,tela,2776.0,7
JEEP,GRAND CHEROKEE,premium,USD,12300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_8ad659b9e6bb44ff9a7c742af93084da.webp,2012,97000.0,gasolina,automatica,Lima,negro,6.0,cuero,3604.0,12
VOLKSWAGEN,CROSSFOX,otros,USD,8400.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_4c3074beb31340cd91fa0557f93a6b2c.webp,2015,125000.0,gasolina,mecanica,Lima,otro,4.0,tela,1598.0,9
VOLKSWAGEN,GOL,otros,USD,13200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_e68eaff964c44881a754292a8c0d73d1.webp,2022,14500.0,gasolina,mecanica,Provincias,gris,4.0,tela,1596.0,2
MERCEDES BENZ,CLASE C,otros,USD,11900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_c9c12ae00e484058b3665be56e100c2b.webp,2012,113600.0,gasolina,automatica,Lima,blanco,4.0,cuero,1496.0,12
JEEP,GRAND CHEROKEE,premium,USD,9900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_897e8d62a606485da0b9aa3c24ea7c32.webp,2009,145000.0,gasolina,otros,Lima,otro,,otros,,15
VOLKSWAGEN,GOLF,otros,USD,1500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/golf/pe/RT_PU_bdde10e8a3f6499faca2715723a0e2f0.webp,1998,184000.0,gasolina,mecanica,Provincias,negro,4.0,tela,1595.0,26
BMW,SERIE 3,otros,USD,12800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-3/pe/RT_PU_2878e0d293634c35bc989f2faf5f96ba.webp,2015,87000.0,gasolina,automatica,Lima,negro,4.0,otros,1900.0,9
AUDI,A4,otros,USD,23500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/audi/a4/pe/RT_PU_7f60c1d6dcdd4b31ac6d467f8be6cae9.webp,2017,33096.0,gasolina,mecanica,Lima,plata,4.0,cuero,1984.0,7
CHEVROLET,N300 MAX,otros,USD,8000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/n300-max/pe/RT_PU_3904d44d78b74d6bae7bd8dab4599571.webp,2017,79771.0,gasolina,mecanica,Lima,blanco,4.0,tela,1200.0,7
FIAT,UNO WAY,otros,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno-way/pe/RT_PU_fbea39ac86964628a454c0401af12ddb.webp,2019,93600.0,gasolina,mecanica,Lima,otro,4.0,tela,1368.0,5
TOYOTA,AVANZA,otros,USD,10800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/avanza/pe/RT_PU_75965f15515c4438bebf4f57dbd429f9.webp,2013,167000.0,gasolina,automatica,Lima,azul,4.0,tela,1495.0,11
CHERY,TIGGO 2 PRO,otros,USD,8800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo-2-pro/pe/RT_PU_6496777310734a5b80784d6ff7b25f49.webp,2022,82000.0,gasolina,mecanica,Lima,rojo,4.0,tela_cuero,1497.0,2
HAVAL,H2,4x2,USD,13500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/haval/h2/pe/RT_PU_27959d92b9cb450db531d0c020cbef67.webp,2021,150000.0,gasolina,automatica,Lima,negro,4.0,tela,1500.0,3
KIA,SOLUTO,premium,USD,8300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/soluto/pe/RT_PU_f8e2f1b532b34f70b39927d559a6901f.webp,2020,100000.0,gasolina,mecanica,Lima,negro,4.0,tela,1368.0,4
SUZUKI,APV,otros,PEN,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/apv/pe/RT_PU_6333eaadba9c4dfdb3757f17702cf79d.webp,2015,200000.0,gasolina,mecanica,Lima,gris,4.0,tela,1590.0,9
HYUNDAI,TUCSON,4x2,USD,8800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_5f9e5aee00d34d49abc98873d285572d.webp,2010,121000.0,gasolina,mecanica,Lima,gris,4.0,tela,1975.0,14
JETOUR,X70,premium,USD,14900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jetour/x70/pe/RT_PU_308e19a10d0d4994bcdecc63ae510b11.webp,2022,34300.0,gasolina,automatica,Lima,blanco,4.0,cuero,1498.0,2
KIA,SONET,premium,USD,16100.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sonet/pe/RT_PU_74ce0ff2ddd64bd6acfc5230dcd7ba3a.webp,2021,20000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1497.0,3
KIA,RIO CROSS,otros,USD,10000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-cross/pe/RT_PU_16d687e4f52b4aab993d74868aeebe35.webp,2019,88000.0,gasolina,mecanica,Lima,negro,4.0,tela,1368.0,5
TOYOTA,COROLLA,otros,USD,14800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_ec8a97fde65f49b4b31896ed889fb823.webp,2016,66000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1798.0,8
JAC,REFINE,premium,USD,15500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_cd49cd02ac284474a9434740377e8fc7.webp,2022,52000.0,gasolina,mecanica,Lima,plata,4.0,tela,1998.0,2
DAEWOO,DAMAS VAN,otros,USD,4000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/daewoo/damas-van/pe/RT_PU_d723173e50ae4391875fe6231fca0f24.webp,2000,315500.0,gasolina,otros,Lima,blanco,,otros,,24
TOYOTA,RAV4,4x2,USD,28000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_2bdb14f9a56c41dbbae9b7094076cb53.webp,2020,57000.0,gasolina,mecanica,Lima,negro,4.0,tela,1987.0,4
KIA,RIO,premium,PEN,10300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio/pe/RT_PU_144bfc2934a3424aba99722dbf15de78.webp,2018,72500.0,gasolina,mecanica,Lima,azul,4.0,tela,1368.0,6
CHEVROLET,PRISMA,premium,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_6d188f3e9d154d32966070995413ebfc.webp,2018,87000.0,gasolina,mecanica,Lima,negro,4.0,tela_cuero,1389.0,6
VOLKSWAGEN,POLO,otros,USD,9300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/polo/pe/RT_PU_dd74b046db6d4e85ba227bc4b63ad947.webp,2012,115000.0,gasolina,mecanica,Provincias,azul,4.0,tela,1390.0,12
JAC,REFINE,otros,PEN,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_c281f2e45140405bb24fc22c888e2084.webp,2023,54100.0,gasolina,mecanica,Lima,negro,4.0,tela,1997.0,1
TOYOTA,HILUX,4x4,PEN,24000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_df9094417c784807a8495cc6b55c7799.webp,2017,144000.0,gasolina,mecanica,Lima,rojo,4.0,tela,2755.0,7
TOYOTA,YARIS SEDÁN,otros,USD,18000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/yaris-sedan/pe/RT_PU_14bcd90e49844148a05d5c50b4d45217.webp,2023,34822.0,gasolina,automatica,Lima,gris,4.0,tela,1329.0,1
FORD,ECOSPORT,premium,USD,15000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_427c969cd26147dab0d5d0a801a999d9.webp,2019,39000.0,gasolina,mecanica,Lima,plata,3.0,cuero,1500.0,5
MERCEDES BENZ,CLASE C,otros,PEN,11800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_d790e3c680ef406ab0ba567b485e1dcc.webp,2009,94500.0,gasolina,automatica,Lima,plata,4.0,otros,2000.0,15
TOYOTA,RAV4,4x2,USD,14500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_963938258872458daa8407b47c03dd93.webp,2013,215242.0,gasolina,mecanica,Provincias,gris,4.0,tela,2494.0,11
SUZUKI,CELERIO,otros,USD,8200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/celerio/pe/RT_PU_ed86c48775aa41f9b1153011e1c1c1eb.webp,2019,73000.0,gasolina,automatica,Lima,gris,3.0,tela,998.0,5
RENAULT,DUSTER,4x2,USD,10998.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/duster/pe/RT_PU_5836a410d88a4d13a51694b3fe11ee14.webp,2020,77000.0,gasolina,mecanica,Lima,plata,4.0,tela,1998.0,4
NISSAN,JUKE,4x4,USD,10500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/juke/pe/RT_PU_1b16923d82354e10b01c30e4deb60326.webp,2013,162000.0,gasolina,automatica_secuencial,Lima,rojo,4.0,cuero,1598.0,11
MERCEDES BENZ,CLASE A,otros,USD,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-a/pe/RT_PU_78d0234bb1424908b70c9958019722f1.webp,2016,52000.0,gasolina,mecanica,Lima,plata,4.0,tela,1595.0,8
CHERY,TIGGO 7 PRO,otros,USD,15000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo-7-pro/pe/RT_PU_7f9b591635cc46749c6aa9ce635296a6.webp,2021,22500.0,gasolina,automatica,Lima,plata,4.0,cuero,1498.0,3
SUBARU,IMPREZA SEDÁN,premium,USD,18500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/impreza-sedan/pe/RT_PU_1045b22e3fef42259e5c2023b62f3c95.webp,2018,29500.0,gasolina,automatica,Lima,azul,4.0,cuero,1995.0,6
TOYOTA,HILUX,4x4,USD,19000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_d89fa01bad5b4f98a82eb5e22773a9c3.webp,2011,140000.0,diesel,mecanica,Provincias,plata,4.0,tela,2982.0,13
TOYOTA,HILUX,4x4,USD,24990.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_d8317d2b484348fb9b706e19a145a507.webp,2019,135010.0,gasolina,mecanica,Lima,blanco,4.0,tela,2755.0,5
JAGUAR,F-TYPE,otros,USD,60000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jaguar/f-type/pe/RT_PU_767be85a4f6847d282ad3e96e4a8cd3e.webp,2015,40000.0,gasolina,automatica,Lima,rojo,8.0,cuero,4999.0,9
JEEP,COMPASS,otros,USD,22000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_1d6e34abcf094fb5a2f53ad1e680a042.webp,2020,47300.0,gasolina,automatica,Lima,negro,4.0,tela,2360.0,4
MAZDA,3 SEDÁN,otros,USD,13800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sedan/pe/RT_PU_ecd0fc4157584ed2a88cd17dc89c3229.webp,2018,74800.0,gasolina,automatica,Lima,negro,4.0,tela,1600.0,6
NISSAN,X-TRAIL,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/x-trail/pe/RT_PU_60da28ff90f646f9837ffa1913eb7653.webp,2015,74000.0,gasolina,automatica,Lima,negro,4.0,tela,2498.0,9
VOLKSWAGEN,GOL,otros,USD,5500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_635784376b034295ab212973ebff03f4.webp,2002,126000.0,gasolina,mecanica,Provincias,plata,4.0,otros,1800.0,22
GREAT WALL,H3,4x4,USD,8900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/great-wall/h3/pe/RT_PU_8c295fa045374eae823e99872ab0e20d.webp,2013,98000.0,gasolina,mecanica,Lima,plata,4.0,tela,1998.0,11
PEUGEOT,207,otros,USD,10300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/peugeot/207/pe/RT_PU_a7eeffabb37a4427af1990c58563d201.webp,2010,60000.0,gasolina,otros,Lima,gris,4.0,tela,1587.0,14
SUBARU,FORESTER,premium,USD,29000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/forester/pe/RT_PU_8ed702c186d64ee094a2ef444abf1209.webp,2020,6900.0,gasolina,mecanica,Lima,gris,4.0,tela,1995.0,4
