Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine,Age
PEUGEOT,207 COMPACT,otros,USD,6900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/peugeot/207-compact/pe/RT_PU_4fc7e4ce7f6a462a93614cd4ef2ec56e.webp,2012,104000.0,gasolina,mecanica,Lima,gris,4.0,tela,1360.0,12
JAC,T8,4x4,USD,15700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/t8/pe/RT_PU_2ce1d1a85b344be4b2c574abd89fe247.webp,2022,62000.0,diesel,mecanica,Provincias,plata,4.0,tela,1999.0,2
HYUNDAI,H-100,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/h-100/pe/RT_PU_ce9fae927061418fbba99d0bcf5bc54c.webp,2014,120000.0,diesel,mecanica,Lima,blanco,4.0,tela,2497.0,10
VOLKSWAGEN,CROSSFOX,otros,USD,12700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_dd1790b3314b4bd2b01c93684c7487dd.webp,2017,27902.0,gasolina,mecanica,Lima,gris,4.0,tela,1598.0,7
TOYOTA,FORTUNER,4x2,USD,29900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/fortuner/pe/RT_PU_fcebf39891df4723a389b2d595625c53.webp,2017,93000.0,gasolina,automatica,Lima,otro,4.0,tela,2694.0,7
JEEP,GRAND CHEROKEE,premium,USD,33000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_cda525de82c14df6bd2f860541e0ba4b.webp,2018,68000.0,gasolina,automatica,Lima,gris,6.0,cuero,3604.0,6
JAGUAR,XE,otros,USD,29500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jaguar/xe/pe/RT_PU_7711c63122ae47e89fbcad587a197ac9.webp,2018,15000.0,gasolina,automatica,Lima,plata,4.0,tela,1999.0,6
HYUNDAI,I20 ACTIVE,otros,USD,12900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/i20-active/pe/RT_PU_acdeb1168ae44e1ba7ad0ae4e3e98574.webp,2018,73000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1368.0,6
HYUNDAI,TUCSON,4x2,USD,12600.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_84e1083cae34467e88d5fb00d4cabf52.webp,2013,53000.0,gasolina,mecanica,Lima,otro,4.0,tela,1999.0,11
JAC,T8,4x4,USD,18500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/t8/pe/RT_PU_1afd6663deb04d0b8fb705dabcd50e3f.webp,2022,48000.0,diesel,mecanica,Provincias,gris,4.0,tela,1999.0,2
NISSAN,SENTRA,otros,USD,4500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_36cf1018b4b14728a36b17b108847a7d.webp,2002,150000.0,gasolina,mecanica,Lima,azul,4.0,otros,1600.0,22
BYD,HAN EV,otros,USD,27500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/byd/han-ev/pe/RT_PU_b11c366e550f485c83ee7dd2b730ecb7.webp,2024,150.0,,automatica,Lima,blanco,,cuero,,0
FORD,ECOSPORT,otros,USD,8900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_843d1290cb6a4a7f9b4b253fe006d398.webp,2011,65000.0,gasolina,mecanica,Lima,azul,4.0,tela,1600.0,13
HYUNDAI,GRAND I10 SEDAN,otros,USD,9900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/grand-i10-sedan/pe/RT_PU_585f8973bc43473fb1146aab08f0c198.webp,2018,26900.0,gasolina,automatica,Lima,plata,4.0,tela,1248.0,6
TOYOTA,FORTUNER,4x2,USD,35500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/fortuner/pe/RT_PU_49b496ca927f4cacb1645fa5dfbb7cf3.webp,2021,55500.0,gasolina,automatica,Lima,negro,4.0,tela,2694.0,3
CHEVROLET,SONIC,otros,USD,8700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/sonic/pe/RT_PU_bf596428f7994301bb2a0dcb0c5c771e.webp,2013,120000.0,gasolina,automatica,Lima,azul,4.0,tela,1600.0,11
CHANGAN,CS15,otros,USD,10800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/changan/cs15/pe/RT_PU_6dee840268f94e00993d46cbcb50a69e.webp,2022,28500.0,gasolina,mecanica,Lima,blanco,4.0,tela,1480.0,2
SUZUKI,SWIFT,otros,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/swift/pe/RT_PU_6aeefa4b8cf54263bf259a98e9ce6db3.webp,2016,49500.0,gasolina,mecanica,Lima,rojo,4.0,tela,1200.0,8
DODGE,DURANGO,premium,USD,26500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dodge/durango/pe/RT_PU_5bb986744c664cda95fad332f02ddb30.webp,2015,89900.0,gasolina,automatica,Lima,negro,6.0,tela,3598.0,9
HONDA,CIVIC,otros,USD,4700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_c2eb2145b49b43559636cb86916394bf.webp,2002,130000.0,gasolina,automatica,Lima,rojo,4.0,tela,1495.0,22
HYUNDAI,ACCENT SEDÁN,otros,USD,15300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/accent-sedan/pe/RT_PU_9f730da1bed74e09bbc941f68b6cfa12.webp,2023,21500.0,gasolina,mecanica,Lima,azul,4.0,tela,1368.0,1
KIA,SPORTAGE,otros,USD,31990.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_345d3c7076794aa9a8e842dd8f40816c.webp,2023,21000.0,gasolina,automatica,Lima,blanco,4.0,cuero,1598.0,1
GEELY,EMGRAND 7,otros,USD,14000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/emgrand-7/pe/RT_PU_264d857115854953bc01fcba5304ad44.webp,2020,50000.0,gasolina,mecanica,Lima,azul,4.0,cuero,1808.0,4
KIA,SORENTO,4x2,USD,25000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sorento/pe/RT_PU_0c212197abec4653887ffc38bb4bbc37.webp,2019,33500.0,gasolina,mecanica,Lima,azul,4.0,tela,2359.0,5
MAZDA,3 SPORT,otros,PEN,13500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sport/pe/RT_PU_bf82ad4392de4d27931bae3e0236c6f2.webp,2015,68000.0,gasolina,mecanica,Lima,azul,4.0,tela,1998.0,9
TOYOTA,RAV4,4x2,USD,18000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_39709e480c91408fb64a0f2471bdc478.webp,2015,54300.0,gasolina,automatica,Lima,negro,4.0,tela,2494.0,9
TOYOTA,86,otros,USD,20000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/86/pe/RT_PU_ba639f6eee4e40d893a8010f242b9f7e.webp,2014,65000.0,gasolina,mecanica,Provincias,rojo,4.0,tela,1998.0,10
DONGFENG,SX5,otros,USD,12900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dongfeng/sx5/pe/RT_PU_ecd128d0b40c477f965b4e11caf8f138.webp,2022,16000.0,gasolina,mecanica,Lima,negro,4.0,cuero,1590.0,2
DODGE,DURANGO,otros,USD,42900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dodge/durango/pe/RT_PU_bfdc6c54c7c44a14bd7738babeff564b.webp,2020,9000.0,gasolina,automatica,Lima,negro,6.0,cuero,3604.0,4
MG,ZX,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mg/zx/pe/RT_PU_f3fca44162f54b13abf58d8b2342e29a.webp,2021,20000.0,gasolina,automatica,Provincias,rojo,4.0,cuero,1498.0,3
HYUNDAI,VERNA,otros,USD,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/verna/pe/RT_PU_daab912825d941bb967ce4b50ab09587.webp,2022,20000.0,gasolina,automatica,Provincias,plata,4.0,tela,1400.0,2
KIA,SPORTAGE,premium,USD,10500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_848ef028c9dc4db3baf9ffffc977dc32.webp,2010,90300.0,gasolina,mecanica,Lima,plata,4.0,tela,2000.0,14
FIAT,UNO,otros,USD,7000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno/pe/RT_PU_c1f58a932bdc4584b4bb60bd71aa18aa.webp,2016,119000.0,gasolina,mecanica,Lima,gris,4.0,tela,1368.0,8
VOLKSWAGEN,KOMBI,otros,PEN,11000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/kombi/pe/RT_PU_ebd81395c9f94d02ac770be901127001.webp,1989,79854.0,gasolina,otros,Provincias,azul,,otros,,35
CHEVROLET,TRACKER TURBO,otros,USD,14900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/tracker-turbo/pe/RT_PU_efb53ac94c644c2e8348f9d349d343db.webp,2021,38000.0,gasolina,automatica,Provincias,azul,3.0,tela_cuero,1200.0,3
JMC,CARRYING,otros,USD,8000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jmc/carrying/pe/RT_PU_6b6be2833b924994b55e7f9f52fd2ca1.webp,2010,131787.0,diesel,mecanica,Lima,blanco,4.0,tela,2771.0,14
JEEP,GRAND CHEROKEE,premium,USD,48500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_c995ab71d54b4c66b4d3d14b64283518.webp,2021,71000.0,gasolina,automatica,Lima,blanco,6.0,cuero,3604.0,3
RENAULT,DUSTER,4x2,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/duster/pe/RT_PU_8a0f04a557704eb28c002b036492d175.webp,2016,45000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1598.0,8
KIA,CERATO,premium,USD,15000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_71fd42002a0547c9b2ef026d5a3b1975.webp,2019,43000.0,gasolina,mecanica,Lima,gris,4.0,tela,1591.0,5
GREAT WALL,VOLEEX C30,otros,USD,7400.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/great-wall/voleex-c30/pe/RT_PU_40767c40361847db80b85a88c8238e1d.webp,2016,88000.0,gasolina,mecanica,Lima,rojo,4.0,tela,1497.0,8
SUZUKI,CELERIO,otros,USD,5900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/celerio/pe/RT_PU_a9c4f3ec0e2142bf8f6fe8fbfb00a2a8.webp,2011,100575.0,gasolina,mecanica,Lima,rojo,3.0,tela,996.0,13
HONDA,CR-V,premium,USD,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/cr-v/pe/RT_PU_9c403db572444289807a23aa2b2f9030.webp,2012,95000.0,gasolina,automatica,Provincias,negro,4.0,cuero,2354.0,12
HYUNDAI,TUCSON,otros,USD,21900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_7a084358eee640b9b8fedf7d82d02db2.webp,2020,65000.0,gasolina,mecanica,Lima,blanco,4.0,cuero,1598.0,4
JAC,S3,premium,USD,9480.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/s3/pe/RT_PU_31bce612247d4f199718d83fa5f267da.webp,2017,73000.0,gasolina,mecanica,Provincias,plata,4.0,cuero,1499.0,7
HONDA,HR-V,otros,USD,21500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/hr-v/pe/RT_PU_89b4a92a4bd644b89ca836d085de1e5b.webp,2022,40000.0,gasolina,automatica,Lima,gris,4.0,cuero,1799.0,2
TOYOTA,HILUX,4x4,USD,32000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_97e77b1809cf4fad95d112a1bb5fae9a.webp,2018,159000.0,gasolina,mecanica,Provincias,gris,4.0,tela,2755.0,6
TOYOTA,URBAN CRUISER,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/urban-cruiser/pe/RT_PU_833da31b07434ba6ac0dceaf9d7f6d4c.webp,2015,49900.0,gasolina,mecanica,Provincias,marron,4.0,tela,1329.0,9
TOYOTA,FORTUNER,4x4,USD,54000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/fortuner/pe/RT_PU_2705213a7929443589384c58af6733c8.webp,2023,6111.0,diesel,mecanica,Lima,gris,4.0,tela,2755.0,1
KIA,SPORTAGE,otros,USD,12900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_6f34d45dc95a4a6eb00116ae4d727bee.webp,2012,85000.0,gasolina,mecanica,Lima,gris,4.0,tela,2000.0,12
BMW,SERIE 5,otros,USD,18490.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-5/pe/RT_PU_e834cc61591e4b8ba1ef0f0b87bf88c8.webp,2015,67000.0,gasolina,automatica,Lima,plata,4.0,tela,1998.0,9
GEELY,GX3,otros,USD,12500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/gx3/pe/RT_PU_9741d54c7fd84cdfa6fbcb2dd93a4037.webp,2022,16115.0,gasolina,mecanica,Lima,rojo,4.0,cuero,1498.0,2
BMW,SERIE 1 COUPÉ,otros,USD,13900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-1-coupe/pe/RT_PU_ff770e4b329b486cb34891d1ef739bfc.webp,2010,103892.0,gasolina,mecanica,Lima,negro,6.0,tela,2979.0,14
VOLKSWAGEN,T-CROSS,otros,USD,22000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/t-cross/pe/RT_PU_e777a9fa36d949e2a14b2c15c1548495.webp,2023,8900.0,gasolina,otros,Lima,gris,3.0,tela,999.0,1
SUZUKI,BALENO,otros,USD,9590.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/baleno/pe/RT_PU_1e50354332334b4db36fe1a36bba1052.webp,2017,55000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1373.0,7
DODGE,DURANGO,otros,USD,20000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dodge/durango/pe/RT_PU_a58ced1df4964ef0b1b5c533663dc619.webp,2016,130000.0,gasolina,automatica,Lima,negro,6.0,tela,3598.0,8
MERCEDES BENZ,CLASE CLA,otros,USD,24000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-cla/pe/RT_PU_4ffc87c5c74f4553848e9a2f396ba37d.webp,2015,43500.0,gasolina,automatica,Lima,blanco,4.0,tela_cuero,1991.0,9
CHERY,TIGGO,4x2,USD,7000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo/pe/RT_PU_7dcb015cf0b344b79568936bc7b14d87.webp,2012,113000.0,gasolina,mecanica,Lima,rojo,4.0,tela,1597.0,12
CHEVROLET,TAHOE,otros,USD,46000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/tahoe/pe/RT_PU_27f5f7b844604533a9374245f43a5d1f.webp,2018,45000.0,gasolina,automatica,Lima,gris,8.0,cuero,5300.0,6
SUZUKI,SWIFT,otros,USD,10500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/swift/pe/RT_PU_490f025e9c6a47b687dc971f1fb1a4c6.webp,2018,39500.0,gasolina,mecanica,Lima,blanco,4.0,tela,1197.0,6
TOYOTA,LAND CRUISER PRADO,premium,USD,25000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/land-cruiser-prado/pe/RT_PU_242fc68ca1e34f47b138b8c2b5b608a4.webp,2012,133000.0,gasolina,mecanica,Lima,azul,4.0,tela,2694.0,12
KIA,SPORTAGE,otros,USD,14400.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_3d53be916bbd46bd929a4ce33809043f.webp,2014,106000.0,gasolina,automatica,Provincias,gris,4.0,tela,2000.0,10
NISSAN,FRONTIER,4x4,USD,37500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/frontier/pe/RT_PU_41d82d235c7d45b1830c2a39f817d45b.webp,2023,22000.0,diesel,automatica,Lima,gris,4.0,cuero,2488.0,1
KIA,RIO,premium,USD,6500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio/pe/RT_PU_a724dd401aab41e3a87e3644bea3f454.webp,2011,175000.0,gasolina,mecanica,Lima,negro,4.0,tela,1399.0,13
TOYOTA,COROLLA,otros,USD,11999.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_0de0cd9838594ba79f8599998fd46cd7.webp,2015,142000.0,gasolina,mecanica,Lima,plata,4.0,tela,1798.0,9
MAHINDRA,PIK UP,4x4,USD,10100.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mahindra/pik-up/pe/RT_PU_0c2417d9c5084e39bc03e821388450f2.webp,2016,104000.0,diesel,mecanica,Provincias,blanco,4.0,tela,2200.0,8
BMW,SERIE 3,otros,USD,5090.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-3/pe/RT_PU_3b757ea32f0c42af9ede0c2d08523dc1.webp,1996,267902.0,gasolina,mecanica,Lima,otro,4.0,cuero,1900.0,28
VOLKSWAGEN,GOL,otros,USD,8000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_20d2e828127f4158815f500dd97fb454.webp,2016,170000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1596.0,8
SUBARU,IMPREZA SPORT,premium,USD,19800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/impreza-sport/pe/RT_PU_7ba0d7ceb5ef480796febac733eb1fea.webp,2020,70000.0,gasolina,mecanica,Lima,gris,4.0,tela,1995.0,4
HYUNDAI,SANTA FE,4x2,PEN,15500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/santa-fe/pe/RT_PU_3f969d500e834acca06f3dbe8df24aee.webp,2013,190000.0,gasolina,automatica,Lima,blanco,4.0,tela,2349.0,11
KIA,SPORTAGE,premium,USD,23000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_16fae34735f24fc9b3ffcfe1965e567d.webp,2019,35200.0,gasolina,mecanica,Lima,plata,4.0,tela,1999.0,5
SUZUKI,APV,otros,USD,11000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/apv/pe/RT_PU_e8ec2877c8c34d8a92ae5bf7161360e0.webp,2012,166882.0,gasolina,mecanica,Provincias,gris,4.0,tela,1590.0,12
TOYOTA,LAND CRUISER PRADO,premium,USD,23500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/land-cruiser-prado/pe/RT_PU_d420527b6d424165864e23b06e4c6140.webp,2011,190000.0,gasolina,automatica,Lima,negro,4.0,tela,2694.0,13
TOYOTA,YARIS SEDÁN,otros,USD,14800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/yaris-sedan/pe/RT_PU_ab0d098ecab040cf807fc742e07ea436.webp,2022,50000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1329.0,2
TOYOTA,COROLLA,otros,USD,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_8976a86f5036460d8382a9b44557cbca.webp,2019,34000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1798.0,5
TOYOTA,RUSH,premium,USD,23000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rush/pe/RT_PU_5c1bb9b3ece34930afa222282d0e0fe1.webp,2021,25000.0,gasolina,automatica,Lima,blanco,4.0,tela,1496.0,3
FIAT,FIORINO,otros,PEN,12500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/fiorino/pe/RT_PU_681e6e74e5664d8daea012f851512cf5.webp,2014,164000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1242.0,10
MITSUBISHI,XPANDER,otros,USD,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mitsubishi/xpander/pe/RT_PU_d52ea0eed641411f9c55677c39fd4cf9.webp,2019,27900.0,gasolina,mecanica,Lima,gris,4.0,tela,1499.0,5
NISSAN,VERSA,otros,USD,8200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/versa/pe/RT_PU_bf28823bd8614d72bbba6d57c96df9c5.webp,2012,91000.0,gasolina,mecanica,Lima,negro,4.0,tela,1598.0,12
NISSAN,AD,otros,USD,4700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/ad/pe/RT_PU_91d96859868d40638822819e3af754f6.webp,2003,250000.0,gasolina,automatica,Lima,blanco,4.0,otros,1600.0,21
HYUNDAI,GRAND I10 SEDAN,otros,USD,8500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/grand-i10-sedan/pe/RT_PU_25a39eff97234ff9927ec35c7842c696.webp,2018,149997.0,gasolina,mecanica,Provincias,blanco,4.0,tela,1248.0,6
MERCEDES BENZ,CLASE GLA,otros,USD,33000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-gla/pe/RT_PU_e481426674dc43da82abe0b78bcc766c.webp,2019,47000.0,gasolina,automatica,Lima,plata,4.0,cuero,1595.0,5
NISSAN,FIERA,4x2,USD,5700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/fiera/pe/RT_PU_8622f101b93545dca4c27c58ff51924e.webp,1993,289398.0,gasolina,mecanica,Lima,plata,4.0,tela,2700.0,31
MINI,COOPER COUNTRYMAN,otros,USD,27900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mini/cooper-countryman/pe/RT_PU_e61c84d4d5444d2e8e9166538a88d48e.webp,2020,32000.0,gasolina,automatica,Provincias,rojo,4.0,tela,1998.0,4
TOYOTA,YARIS SEDÁN,otros,PEN,12800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/yaris-sedan/pe/RT_PU_92478630bd934e3ba04bc216c530eb4d.webp,2014,121535.0,gasolina,mecanica,Lima,marron,4.0,tela,1299.0,10
TOYOTA,COROLLA,otros,PEN,14900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_635362b616be40e48713411d202465d9.webp,2017,159000.0,gasolina,automatica,Lima,negro,4.0,tela,1798.0,7
TOYOTA,RAV4,4x2,USD,22800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_508b0993f14f4dcdaa9200a8cdc1098e.webp,2018,31000.0,gasolina,mecanica,Lima,plata,4.0,tela,1987.0,6
FORD,EXPLORER,otros,USD,35500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/explorer/pe/RT_PU_42e3b365a5714208a8f637a137f3ca20.webp,2018,20000.0,gasolina,automatica,Lima,negro,6.0,cuero,3500.0,6
HYUNDAI,ELANTRA,otros,USD,10500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/elantra/pe/RT_PU_a5ace8b316bd4fb5867436f5172bf43a.webp,2014,200000.0,gasolina,mecanica,Lima,negro,4.0,otros,1600.0,10
HONDA,WR-V,premium,USD,18500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/wr-v/pe/RT_PU_0dbe904818fb475f8adc347db1cff48f.webp,2023,12500.0,gasolina,automatica_secuencial,Lima,azul,4.0,tela,1498.0,1
HONDA,CITY,otros,USD,19000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/city/pe/RT_PU_8791042de5dd4af39af787604823bf5f.webp,2022,8000.0,gasolina,automatica_secuencial,Provincias,gris,4.0,cuero,1500.0,2
RENAULT,STEPWAY,otros,USD,15000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/stepway/pe/RT_PU_d112d53d36984ee9b0ce938022105084.webp,2022,10000.0,gasolina,mecanica,Lima,rojo,4.0,tela,1598.0,2
TOYOTA,RAV4,4x2,USD,21900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_5a927fbec67245beb4d42bb76761ee86.webp,2018,45000.0,gasolina,automatica,Lima,plata,4.0,tela,1987.0,6
KIA,PICANTO CROSS,otros,USD,11300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/picanto-cross/pe/RT_PU_98db0ace9cc743d48982c9e17c676f9b.webp,2020,32000.0,gasolina,mecanica,Lima,plata,4.0,tela,1250.0,4
KIA,CERATO,otros,USD,14500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_e0468f1826be4cd5bca21ed80122f5e3.webp,2018,88000.0,gasolina,mecanica,Provincias,gris,4.0,cuero,1591.0,6
HYUNDAI,TUCSON,4x2,USD,27500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_4faddc0725554c6baf2aee681769e180.webp,2022,14000.0,gasolina,mecanica,Lima,negro,4.0,tela,1998.0,2
KIA,SELTOS,premium,USD,17500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/seltos/pe/RT_PU_f9d75d282c284791ac0d2ff7760fab85.webp,2022,15000.0,gasolina,automatica,Lima,gris,4.0,tela,1591.0,2
SUZUKI,GRAND NOMADE,4x4,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/grand-nomade/pe/RT_PU_2489fbcf237e41cfabd5a85292e25c46.webp,2005,88000.0,gasolina,mecanica,Provincias,azul,4.0,otros,1995.0,19
VOLKSWAGEN,CROSSFOX,otros,PEN,11300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_d947212addbe4e6a9f60c74aa4beb91d.webp,2020,20300.0,gasolina,mecanica,Lima,gris,4.0,tela,1598.0,4
VOLVO,244,otros,USD,5000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volvo/244/pe/RT_PU_935347564f404625a04e30f1a1e5214c.webp,1979,80000.0,gasolina,otros,Lima,azul,,otros,,45
SUBARU,XV,premium,USD,18000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/xv/pe/RT_PU_2c5652472cce434192713eac0a731f87.webp,2019,42000.0,gasolina,automatica,Lima,gris,4.0,tela,1599.0,5
