Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine,Age
VOLKSWAGEN,TIGUAN ALLSPACE,delantera,USD,23500.0,https://cde.neoauto.pe/autos_usados/360x240/647708/647708_7319728.webp,2021.0,25000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,cuero,1400.0,3.0
MAZDA,CX-5,otros,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/718416/718416_8381254.webp,2019.0,31600.0,gasolina,mecanica,Lima,blanco,4.0,tela,2000.0,5.0
NISSAN,KICKS,otros,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6965696.webp,2018.0,61733.0,gasolina,automatica,Lima,rojo,,tela,1600.0,6.0
NISSAN,QASHQAI,4x4,USD,21000.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6810619.webp,2019.0,55656.0,gasolina,automatica,Lima,gris,,tela,2000.0,5.0
CHEVROLET,TRACKER,4x2,USD,15500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2240449.webp,2021.0,38265.0,gasolina,mecanica,Lima,gris,,tela,1200.0,3.0
NISSAN,FRONTIER,4x2,USD,20500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2748497.webp,2020.0,70331.0,diesel,mecanica,Lima,gris,,tela,2500.0,4.0
MITSUBISHI,OUTLANDER,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_4129781.webp,2017.0,77823.0,gasolina,automatica,Lima,blanco,,tela,2000.0,7.0
MAZDA,CX-3,otros,USD,15500.0,https://cde.neoauto.pe/autos_usados/360x240/742996/742996_6438247.webp,2018.0,67000.0,gasolina,automatica_secuencial,Provincias,blanco,4.0,cuero,2000.0,6.0
CHEVROLET,TRACKER,otros,USD,13500.0,https://cde.neoauto.pe/autos_usados/360x240/72317/72317_6799246.webp,2019.0,60200.0,dual,mecanica,Lima,plata,4.0,tela,1800.0,5.0
AUDI,Q5,otros,USD,15900.0,https://cde.neoauto.pe/autos_usados/360x240/565310/565310_7179172.webp,2012.0,83000.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,12.0
PORSCHE,MACAN S,otros,USD,35000.0,https://cde.neoauto.pe/autos_usados/360x240/394772/394772_5382594.webp,2016.0,46000.0,gasolina,automatica_secuencial,Lima,Otro,6.0,cuero,3000.0,8.0
VOLKSWAGEN,TIGUAN,4x4,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/685669/685669_3575411.webp,2013.0,78414.0,gasolina,automatica,Lima,gris,4.0,cuero,2000.0,11.0
MITSUBISHI,ASX,4x2,USD,9700.0,https://cde.neoauto.pe/autos_usados/360x240/732244/732244_2589719.webp,2012.0,68000.0,gasolina,mecanica,Provincias,blanco,4.0,tela,1998.0,12.0
HONDA,PILOT,otros,USD,13800.0,https://cde.neoauto.pe/autos_usados/360x240/523774/523774_1601060.webp,2012.0,142000.0,gasolina,automatica,Lima,marron,6.0,cuero,3400.0,12.0
PEUGEOT,3008,4x2,USD,26500.0,https://cde.neoauto.pe/autos_usados/360x240/742121/742121_3172160.webp,2020.0,32000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,tela,1600.0,4.0
SUBARU,IMPREZA,otros,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/261607/261607_4968049.webp,2017.0,36000.0,gasolina,automatica,Lima,azul,4.0,tela,2000.0,7.0
CHEVROLET,SPIN,otros,USD,11900.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4846142.webp,2017.0,53876.0,gasolina,automatica,Lima,blanco,4.0,tela,1796.0,7.0
HYUNDAI,TUCSON,4x2,USD,29500.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_9942259.webp,2023.0,17199.0,gas_glp,automatica_secuencial,Lima,plata,4.0,tela,2000.0,1.0
PEUGEOT,208,4x2,USD,11700.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_9734663.webp,2018.0,61243.0,gasolina,mecanica,Lima,blanco,4.0,tela,1199.0,6.0
KIA,SONET,4x2,USD,16900.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_8749903.webp,2024.0,2000.0,gasolina,mecanica,Lima,rojo,,cuero,1500.0,0.0
HYUNDAI,TUCSON,4x2,USD,24000.0,https://cde.neoauto.pe/autos_usados/360x240/179908/179908_7093802.webp,2023.0,9400.0,gas_glp,automatica_secuencial,Lima,plata,4.0,tela,2000.0,1.0
MAZDA,CX-5,4x4,USD,34900.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5520031.webp,2023.0,15570.0,gasolina,automatica_secuencial,Lima,rojo,4.0,tela,2000.0,1.0
HYUNDAI,I20 HB,otros,USD,18000.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_6462729.webp,2022.0,25800.0,gasolina,automatica,Lima,blanco,,tela,,2.0
GEELY,GX3,otros,USD,9900.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7850841.webp,2020.0,44500.0,gas_glp,mecanica,Lima,gris,,tela,,4.0
CITROEN,C5 AIRCROSS,4x2,USD,19000.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_3459791.webp,2020.0,25257.0,gasolina,automatica,Lima,Otro,,tela,1600.0,4.0
SUZUKI,BALENO,4x2,USD,13500.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_1220476.webp,2022.0,21598.0,gasolina,automatica,Lima,azul,,cuero,1400.0,2.0
TOYOTA,COROLLA,4x2,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5772964.webp,2018.0,43029.0,gasolina,automatica_secuencial,Lima,plata,4.0,tela,1800.0,6.0
TOYOTA,COROLLA CROSS,4x2,USD,23000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_2770961.webp,2023.0,15063.0,gasolina,automatica_secuencial,Lima,plata,4.0,tela,2000.0,1.0
TOYOTA,RAIZE,4x2,USD,16400.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3510542.webp,2023.0,10780.0,gasolina,automatica_secuencial,Lima,plata,3.0,tela,1200.0,1.0
TOYOTA,RUSH,4x2,USD,20500.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_8178531.webp,2022.0,40437.0,gasolina,mecanica,Lima,blanco,4.0,tela,1500.0,2.0
TOYOTA,RUSH,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5576929.webp,2021.0,51000.0,gasolina,automatica,Lima,Otro,,tela,1500.0,3.0
TOYOTA,RUSH,4x2,USD,17800.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_6421880.webp,2022.0,62440.0,gasolina,automatica,Lima,plata,4.0,tela,1500.0,2.0
HYUNDAI,CRETA,otros,USD,18100.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7883548.webp,2023.0,38383.0,gas_glp,mecanica,Lima,blanco,,tela,,1.0
KIA,SELTOS,otros,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7548817.webp,2023.0,7720.0,gasolina,automatica,Lima,Otro,,tela,,1.0
GEELY,GX3,otros,USD,11800.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_4061765.webp,2023.0,18000.0,gas_glp,automatica,Lima,rojo,,tela,,1.0
AUDI,A3 SPORTBACK,delantera,USD,28900.0,https://cde.neoauto.pe/autos_usados/360x240/742951/742951_7885414.webp,2022.0,13700.0,gasolina,automatica,Lima,rojo,4.0,tela,1400.0,2.0
TOYOTA,PRIUS,4x2,USD,15800.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3565959.webp,2018.0,86649.0,otros,automatica_secuencial,Lima,gris,4.0,tela,1800.0,6.0
NISSAN,SENTRA,4x2,USD,17000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5738600.webp,2023.0,25607.0,gasolina,mecanica,Lima,gris,4.0,tela,2000.0,1.0
TOYOTA,FORTUNER,4x4,USD,42000.0,https://cde.neoauto.pe/autos_usados/360x240/742917/742917_2751331.webp,2019.0,62000.0,diesel,mecanica,Provincias,blanco,4.0,cuero,2755.0,5.0
MAZDA,2,4x2,USD,18200.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_1887505.webp,2024.0,633.0,gasolina,mecanica,Lima,marron,4.0,tela,1500.0,0.0
FORD,RANGER,4x4,USD,21300.0,https://cde.neoauto.pe/autos_usados/360x240/242077/242077_3158638.webp,2021.0,131791.0,diesel,mecanica,Lima,Otro,,tela,2200.0,3.0
MINI,HATCH 3DR,otros,USD,33991.0,https://cde.neoauto.pe/autos_usados/360x240/208604/208604_4087470.webp,2024.0,1786.0,electrico,automatica,Lima,negro,,tela,,0.0
JEEP,GRAND CHEROKEE LIMITED,4x4,USD,13000.0,https://cde.neoauto.pe/autos_usados/360x240/715295/715295_1114951.webp,2006.0,140000.0,gasolina,automatica_secuencial,Lima,azul,8.0,tela,5700.0,18.0
LEXUS,IS 300,posterior,USD,22700.0,https://cde.neoauto.pe/autos_usados/360x240/648078/648078_5953511.webp,2018.0,31000.0,gasolina,automatica_secuencial,Lima,plata,4.0,cuero,2000.0,6.0
FORD,MUSTANG,posterior,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/742866/742866_3439844.webp,1965.0,54000.0,gasolina,automatica,Lima,Otro,8.0,tela,4700.0,59.0
HYUNDAI,SANTA FE,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/742915/742915_7655377.webp,2014.0,97000.0,gasolina,automatica_secuencial,Lima,blanco,,tela,2400.0,10.0
VOLKSWAGEN,NIVUS,4x2,USD,17200.0,https://cde.neoauto.pe/autos_usados/360x240/662916/662916_5594562.webp,2021.0,53000.0,gasolina,automatica_secuencial,Lima,gris,3.0,tela,1000.0,3.0
MERCEDES BENZ,GLE 400 4MATIC,otros,USD,38000.0,https://cde.neoauto.pe/autos_usados/360x240/332517/332517_6487100.webp,2018.0,49000.0,gasolina,automatica_secuencial,Lima,plata,6.0,cuero,3000.0,6.0
MERCEDES BENZ,C-350,posterior,USD,13800.0,https://cde.neoauto.pe/autos_usados/360x240/723718/723718_1499902.webp,2012.0,119100.0,gasolina,automatica_secuencial,Lima,plata,6.0,tela,3500.0,12.0
SUBARU,FORESTER,otros,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/191263/191263_5010088.webp,2011.0,86500.0,gasolina,mecanica,Lima,blanco,,tela,2000.0,13.0
TOYOTA,HILUX,4x4,USD,33000.0,https://cde.neoauto.pe/autos_usados/360x240/406692/406692_9432200.webp,2017.0,90000.0,diesel,mecanica,Lima,rojo,4.0,tela,2800.0,7.0
KIA,RIO,otros,USD,10200.0,https://cde.neoauto.pe/autos_usados/360x240/706675/706675_2490868.webp,2017.0,96000.0,gas_glp,mecanica,Provincias,gris,4.0,tela,1400.0,7.0
TOYOTA,4RUNNER,4x4,USD,51000.0,https://cde.neoauto.pe/autos_usados/360x240/742886/742886_4092682.webp,2021.0,45000.0,gasolina,automatica_secuencial,Lima,gris,3.0,tela,4000.0,3.0
DODGE,JOURNEY,delantera,USD,12900.0,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_9178621.webp,2014.0,105000.0,gas_glp,automatica,Lima,azul,4.0,tela,2400.0,10.0
AUDI,A4,delantera,USD,12900.0,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_5404632.webp,2013.0,112000.0,gasolina,automatica,Lima,gris,4.0,tela,1800.0,11.0
KIA,SORENTO,4x2,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/676108/676108_6870302.webp,2016.0,68000.0,gasolina,automatica,Lima,Otro,4.0,tela,,8.0
VOLKSWAGEN,SAVEIRO,delantera,USD,11900.0,https://cde.neoauto.pe/autos_usados/360x240/232493/232493_6767577.webp,2022.0,26000.0,gasolina,mecanica,Lima,plata,4.0,tela,1598.0,2.0
KIA,SPORTAGE,4x2,USD,17900.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7677544.webp,2017.0,85584.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,7.0
KIA,SONET,4x2,USD,15990.0,https://cde.neoauto.pe/autos_usados/360x240/741676/741676_1698621.webp,2021.0,20000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1497.0,3.0
JETOUR,X70 PLUS,4x2,USD,19900.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7729361.webp,2023.0,9017.0,gasolina,mecanica,Lima,negro,4.0,tela,1500.0,1.0
BMW,X3 28i,4x4,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/255748/255748_8458425.webp,2013.0,60000.0,gasolina,automatica,Lima,negro,4.0,tela,,11.0
LAND ROVER,RANGE ROVER SPORT,4x4,USD,76000.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_9311452.webp,2020.0,30327.0,otros,automatica,Lima,rojo,6.0,tela,2995.0,4.0
