Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine,Age
BMW,118i,otros,USD,14500.0,https://cde.neoauto.pe/autos_usados/360x240/740064/740064_5268823.webp,2017.0,84100.0,gasolina,automatica,Provincias,gris,3.0,cuero,1500.0,7.0
MAZDA,2,4x2,USD,19000.0,https://cde.neoauto.pe/autos_usados/360x240/417143/417143_7008328.webp,2024.0,622.0,gasolina,automatica,Lima,marron,4.0,tela,1496.0,0.0
MAZDA,CX-3,4x2,USD,21800.0,https://cde.neoauto.pe/autos_usados/360x240/650569/650569_3809468.webp,2022.0,11000.0,gasolina,automatica_secuencial,Lima,gris,4.0,cuero,2000.0,2.0
MERCEDES BENZ,CLA 180 COUPE,posterior,USD,20000.0,https://cde.neoauto.pe/autos_usados/360x240/740579/740579_3571130.webp,2019.0,78000.0,gasolina,automatica_secuencial,Lima,rojo,4.0,cuero,18.0,5.0
JEEP,RENEGADE,4x2,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/348410/348410_1188769.webp,2023.0,17500.0,gasolina,mecanica,Lima,negro,4.0,tela,1800.0,1.0
PEUGEOT,2008,4x2,USD,25100.0,https://cde.neoauto.pe/autos_usados/360x240/424536/424536_3345589.webp,2022.0,12500.0,gasolina,automatica_secuencial,Lima,plata,4.0,tela,1200.0,2.0
TOYOTA,GT-86,posterior,USD,22000.0,https://cde.neoauto.pe/autos_usados/360x240/740615/740615_4387046.webp,2015.0,50000.0,gasolina,automatica_secuencial,Lima,negro,4.0,tela,2000.0,9.0
DODGE,CHARGER,posterior,USD,37000.0,https://cde.neoauto.pe/autos_usados/360x240/740471/740471_3696117.webp,1974.0,,gasolina,automatica,Lima,Otro,8.0,tela,5210.0,50.0
CHERY,TIGGO 2 PRO,4x2,USD,11500.0,https://cde.neoauto.pe/autos_usados/360x240/739782/739782_5300920.webp,2023.0,10290.0,dual,mecanica,Provincias,rojo,4.0,tela,1497.0,1.0
CHEVROLET,C-10,posterior,USD,23900.0,https://cde.neoauto.pe/autos_usados/360x240/228578/228578_4429238.webp,1955.0,,gasolina,mecanica,Lima,Otro,6.0,cuero,3860.0,69.0
TOYOTA,LAND CRUISER PRADO,otros,USD,22000.0,https://cde.neoauto.pe/autos_usados/360x240/372659/372659_3264487.webp,2013.0,116000.0,gasolina,mecanica,Lima,negro,,cuero,,11.0
HYUNDAI,ELANTRA,otros,USD,13500.0,https://cde.neoauto.pe/autos_usados/360x240/740350/740350_7795629.webp,2018.0,58700.0,dual,automatica,Lima,negro,4.0,tela,1591.0,6.0
VOLKSWAGEN,AMAROK,otros,USD,35900.0,https://cde.neoauto.pe/autos_usados/360x240/740535/740535_7951949.webp,2020.0,51900.0,diesel,automatica_secuencial,Lima,plata,6.0,cuero,3000.0,4.0
HYUNDAI,TUCSON,4x2,USD,16500.0,https://cde.neoauto.pe/autos_usados/360x240/740350/740350_6827358.webp,2017.0,90800.0,dual,automatica_secuencial,Lima,blanco,4.0,tela,1999.0,7.0
MITSUBISHI,NATIVA,4x4,USD,13000.0,https://cde.neoauto.pe/autos_usados/360x240/734056/734056_5377036.webp,2010.0,144000.0,gasolina,automatica,Lima,negro,6.0,cuero,3500.0,14.0
FORD,EXPLORER,4x4,USD,28000.0,https://cde.neoauto.pe/autos_usados/360x240/740578/740578_9324776.webp,2018.0,76000.0,gasolina,automatica_secuencial,Lima,rojo,6.0,tela,3500.0,6.0
BMW,X6 35i,4x4,USD,43500.0,https://cde.neoauto.pe/autos_usados/360x240/201369/201369_1054599.webp,2019.0,60000.0,gasolina,automatica_secuencial,Lima,rojo,6.0,tela,3000.0,5.0
VOLKSWAGEN,TERAMONT,otros,USD,46000.0,https://cde.neoauto.pe/autos_usados/360x240/677957/677957_8882509.webp,2021.0,20000.0,gasolina,automatica_secuencial,Lima,Otro,6.0,tela,3600.0,3.0
MERCEDES BENZ,GL-450,4x4,USD,48000.0,https://cde.neoauto.pe/autos_usados/360x240/201369/201369_5549404.webp,2019.0,42000.0,gasolina,automatica_secuencial,Lima,azul,6.0,tela,3000.0,5.0
MERCEDES BENZ,C240,otros,USD,10500.0,https://cde.neoauto.pe/autos_usados/360x240/740576/740576_4666249.webp,1997.0,46000.0,gasolina,automatica,Lima,negro,6.0,cuero,2400.0,27.0
MAZDA,6,4x2,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/740594/740594_5620401.webp,2014.0,76700.0,gasolina,automatica_secuencial,Lima,azul,4.0,tela,2500.0,10.0
MERCEDES BENZ,GLB 200,4x2,USD,35500.0,https://cde.neoauto.pe/autos_usados/360x240/740482/740482_4633333.webp,2020.0,59000.0,gasolina,automatica_secuencial,Lima,negro,4.0,cuero,1300.0,4.0
MERCEDES BENZ,A200,4x2,USD,20000.0,https://cde.neoauto.pe/autos_usados/360x240/466000/466000_3606303.webp,2018.0,34000.0,gasolina,automatica,Lima,negro,4.0,tela,1600.0,6.0
DODGE,DURANGO,4x4,USD,22900.0,https://cde.neoauto.pe/autos_usados/360x240/737415/737415_7767546.webp,2014.0,167000.0,gasolina,automatica,Lima,negro,6.0,tela,3600.0,10.0
VOLKSWAGEN,CORRADO,4x2,USD,5500.0,https://cde.neoauto.pe/autos_usados/360x240/202931/202931_6965735.webp,1991.0,46600.0,gasolina,mecanica,Lima,blanco,4.0,tela,1781.0,33.0
FORD,EXPLORER,4x4,USD,47000.0,https://cde.neoauto.pe/autos_usados/360x240/702964/702964_6779609.webp,2022.0,56000.0,gasolina,automatica,Provincias,plata,4.0,tela,2300.0,2.0
SUBARU,FORESTER,otros,USD,25000.0,https://cde.neoauto.pe/autos_usados/360x240/717419/717419_5595271.webp,2019.0,28641.0,gasolina,automatica_secuencial,Lima,blanco,4.0,cuero,2000.0,5.0
BMW,520-i,4x2,USD,41700.0,https://cde.neoauto.pe/autos_usados/360x240/740429/740429_2445262.webp,2022.0,21800.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,2.0
BMW,320i,4x2,USD,37700.0,https://cde.neoauto.pe/autos_usados/360x240/518001/518001_1157013.webp,2022.0,15000.0,gasolina,automatica_secuencial,Lima,azul,4.0,cuero,2000.0,2.0
BMW,320i,posterior,USD,25900.0,https://cde.neoauto.pe/autos_usados/360x240/669642/669642_1137634.webp,2018.0,35000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,cuero,1998.0,6.0
SUBARU,FORESTER,otros,USD,14100.0,https://cde.neoauto.pe/autos_usados/360x240/692485/692485_1481636.webp,2015.0,89990.0,gasolina,automatica,Lima,Otro,4.0,cuero,2000.0,9.0
LAND ROVER,RANGE ROVER SPORT,4x4,USD,44000.0,https://cde.neoauto.pe/autos_usados/360x240/507301/507301_1379947.webp,2016.0,85000.0,gasolina,automatica_secuencial,Lima,negro,6.0,tela,2995.0,8.0
HYUNDAI,TUCSON,4x2,USD,20995.0,https://cde.neoauto.pe/autos_usados/360x240/727761/727761_9062173.webp,2022.0,57000.0,gasolina,mecanica,Lima,Otro,4.0,cuero,2000.0,2.0
BMW,320i,posterior,USD,11500.0,https://cde.neoauto.pe/autos_usados/360x240/737698/737698_8621085.webp,2011.0,93350.0,gasolina,automatica_secuencial,Lima,negro,4.0,cuero,2000.0,13.0
MG,GT,4x2,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/698433/698433_9233459.webp,2019.0,40166.0,gasolina,mecanica,Lima,plata,4.0,cuero,1500.0,5.0
HONDA,CR-V,4x2,USD,28800.0,https://cde.neoauto.pe/autos_usados/360x240/485147/485147_8888754.webp,2021.0,35000.0,gasolina,automatica_secuencial,Lima,plata,4.0,tela,1498.0,3.0
JEEP,GRAND CHEROKEE LAREDO,4x2,USD,28900.0,https://cde.neoauto.pe/autos_usados/360x240/740161/740161_3339940.webp,2019.0,49600.0,gasolina,automatica_secuencial,Lima,plata,6.0,cuero,3600.0,5.0
MERCEDES BENZ,GL-500,4x4,USD,21900.0,https://cde.neoauto.pe/autos_usados/360x240/724489/724489_8838881.webp,2011.0,109000.0,gasolina,automatica_secuencial,Lima,gris,8.0,tela,5500.0,13.0
HYUNDAI,CRETA,4x2,USD,17000.0,https://cde.neoauto.pe/autos_usados/360x240/740428/740428_5175699.webp,2022.0,38800.0,gasolina,automatica_secuencial,Provincias,rojo,4.0,cuero,1500.0,2.0
VOLVO,XC-60,4x4,USD,59900.0,https://cde.neoauto.pe/autos_usados/360x240/700040/700040_9108742.webp,2024.0,18000.0,otros,automatica_secuencial,Lima,gris,4.0,tela,1969.0,0.0
TOYOTA,COROLLA CROSS,4x2,USD,24900.0,https://cde.neoauto.pe/autos_usados/360x240/668735/668735_5026255.webp,2022.0,30500.0,gasolina,automatica_secuencial,Lima,negro,4.0,cuero,2000.0,2.0
NISSAN,X-TRAIL,4x2,USD,14200.0,https://cde.neoauto.pe/autos_usados/360x240/728985/728985_9929718.webp,2015.0,75000.0,gasolina,automatica,Lima,rojo,4.0,tela,,9.0
TOYOTA,CAMRY,otros,USD,14000.0,https://cde.neoauto.pe/autos_usados/360x240/734890/734890_6396669.webp,2013.0,79000.0,gasolina,automatica_secuencial,Lima,Otro,6.0,tela,3456.0,11.0
MITSUBISHI,MONTERO SPORT,4x4,USD,28600.0,https://cde.neoauto.pe/autos_usados/360x240/629884/629884_8746383.webp,2017.0,82629.0,diesel,automatica_secuencial,Lima,gris,4.0,tela,,7.0
VOLKSWAGEN,JETTA,4x2,USD,9200.0,https://cde.neoauto.pe/autos_usados/360x240/730451/730451_6715053.webp,2016.0,153000.0,gasolina,mecanica,Lima,gris,4.0,cuero,1800.0,8.0
MERCEDES BENZ,A200,4x2,USD,22400.0,https://cde.neoauto.pe/autos_usados/360x240/188638/188638_2459338.webp,2019.0,51000.0,gasolina,automatica_secuencial,Lima,negro,4.0,tela,1309.0,5.0
KIA,OPTIMA,otros,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/735717/735717_4615877.webp,2014.0,121500.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,10.0
TOYOTA,LAND CRUISER PRADO,otros,USD,21500.0,https://cde.neoauto.pe/autos_usados/360x240/734322/734322_6039636.webp,2013.0,171000.0,gasolina,mecanica,Lima,gris,6.0,tela,,11.0
CHRYSLER,TOWN & COUNTRY,delantera,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/722210/722210_9486357.webp,2007.0,65000.0,dual,automatica,Lima,azul,6.0,tela,3301.0,17.0
AUDI,Q5,otros,USD,18900.0,https://cde.neoauto.pe/autos_usados/360x240/146579/146579_6127837.webp,2016.0,90000.0,gasolina,automatica_secuencial,Lima,azul,4.0,cuero,2000.0,8.0
SUZUKI,CELERIO,4x2,USD,8100.0,https://cde.neoauto.pe/autos_usados/360x240/514022/514022_2924292.webp,2017.0,80000.0,gasolina,automatica,Lima,gris,3.0,tela,1000.0,7.0
KIA,SPORTAGE,4x2,USD,28500.0,https://cde.neoauto.pe/autos_usados/360x240/731629/731629_1881077.webp,2023.0,3300.0,dual,automatica_secuencial,Lima,negro,4.0,cuero,2000.0,1.0
MAZDA,CX-5,4x2,USD,27000.0,https://cde.neoauto.pe/autos_usados/360x240/740372/740372_1768311.webp,2020.0,49899.0,gasolina,automatica_secuencial,Lima,rojo,4.0,cuero,1998.0,4.0
PEUGEOT,BOXER,delantera,USD,30000.0,https://cde.neoauto.pe/autos_usados/360x240/740001/740001_5330529.webp,2022.0,4900.0,diesel,mecanica,Lima,blanco,4.0,tela,2198.0,2.0
MORRIS GARAGES,MG 5,4x2,USD,14000.0,https://cde.neoauto.pe/autos_usados/360x240/740197/740197_5297506.webp,2023.0,12240.0,dual,automatica,Lima,negro,4.0,tela,1498.0,1.0
SUBARU,FORESTER,4x4,USD,29000.0,https://cde.neoauto.pe/autos_usados/360x240/617506/617506_4968174.webp,2021.0,40000.0,gasolina,automatica_secuencial,Lima,azul,4.0,tela,2000.0,3.0
BMW,420I GRAN COUPE,4x2,USD,21000.0,https://cde.neoauto.pe/autos_usados/360x240/135886/135886_7799020.webp,2017.0,52500.0,gasolina,automatica_secuencial,Lima,Otro,4.0,cuero,2000.0,7.0
JEEP,COMPASS SPORT,posterior,USD,28500.0,https://cde.neoauto.pe/autos_usados/360x240/667013/667013_2318337.webp,2023.0,9000.0,gasolina,automatica_secuencial,Lima,gris,4.0,cuero,1332.0,1.0
BMW,X5 40i,otros,USD,53990.0,https://cde.neoauto.pe/autos_usados/360x240/385001/385001_4338194.webp,2021.0,80000.0,gasolina,automatica_secuencial,Lima,azul,6.0,tela,3000.0,3.0
SUZUKI,SWIFT,4x2,USD,11000.0,https://cde.neoauto.pe/autos_usados/360x240/740197/740197_6028774.webp,2016.0,46820.0,gasolina,automatica,Lima,rojo,4.0,tela,1197.0,8.0
SUBARU,OUTBACK,otros,USD,28000.0,https://cde.neoauto.pe/autos_usados/360x240/715249/715249_3095664.webp,2019.0,25000.0,gasolina,automatica_secuencial,Provincias,blanco,6.0,tela,3600.0,5.0
HONDA,CR-V,4x4,USD,26000.0,https://cde.neoauto.pe/autos_usados/360x240/739479/739479_3996754.webp,2019.0,25200.0,gasolina,automatica_secuencial,Provincias,negro,4.0,tela,1498.0,5.0
AUDI,A5 COUPE,otros,USD,14000.0,https://cde.neoauto.pe/autos_usados/360x240/740223/740223_4522826.webp,2014.0,93000.0,gasolina,automatica,Lima,gris,4.0,tela,,10.0
NISSAN,X-TRAIL,4x4,USD,14800.0,https://cde.neoauto.pe/autos_usados/360x240/728985/728985_6689892.webp,2015.0,75000.0,gasolina,automatica,Lima,rojo,4.0,tela,2500.0,9.0
VOLKSWAGEN,TIGUAN ALLSPACE,otros,USD,25700.0,https://cde.neoauto.pe/autos_usados/360x240/740097/740097_9791768.webp,2022.0,16900.0,gasolina,automatica_secuencial,Lima,rojo,,tela,1400.0,2.0
SUBARU,XV,otros,USD,20000.0,https://cde.neoauto.pe/autos_usados/360x240/740106/740106_6692233.webp,2018.0,44000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,tela,2000.0,6.0
CHEVROLET,MALIBU,otros,USD,9900.0,https://cde.neoauto.pe/autos_usados/360x240/165587/165587_4606321.webp,2015.0,64000.0,gasolina,automatica_secuencial,Lima,Otro,6.0,tela,3000.0,9.0
HYUNDAI,ACCENT,delantera,USD,2850.0,https://cde.neoauto.pe/autos_usados/360x240/650772/650772_4340769.webp,1994.0,282198.0,dual,mecanica,Provincias,Otro,4.0,tela,1495.0,30.0
MAXUS,T60,otros,USD,16500.0,https://cde.neoauto.pe/autos_usados/360x240/159198/159198_3079197.webp,2023.0,,diesel,mecanica,Lima,Otro,,tela,,1.0
HONDA,CR-V,4x4,USD,28500.0,https://cde.neoauto.pe/autos_usados/360x240/740067/740067_6481452.webp,2017.0,58900.0,gasolina,automatica,Lima,plata,4.0,tela,1498.0,7.0
KIA,PICANTO CROSS,delantera,USD,10200.0,https://cde.neoauto.pe/autos_usados/360x240/148542/148542_1589051.webp,2018.0,71100.0,gasolina,automatica,Lima,gris,4.0,tela,1250.0,6.0
CHEVROLET,TRACKER,otros,USD,9000.0,https://cde.neoauto.pe/autos_usados/360x240/724793/724793_6045139.webp,2014.0,121000.0,gasolina,automatica_secuencial,Lima,negro,4.0,tela,1800.0,10.0
TOYOTA,RAV4,4x2,USD,23500.0,https://cde.neoauto.pe/autos_usados/360x240/376667/376667_7826837.webp,2020.0,43000.0,gasolina,automatica_secuencial,Lima,rojo,2.0,tela,2000.0,4.0
MAZDA,6,delantera,USD,21500.0,https://cde.neoauto.pe/autos_usados/360x240/728997/728997_7027571.webp,2024.0,5000.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2488.0,0.0
MAZDA,3,4x2,USD,10500.0,https://cde.neoauto.pe/autos_usados/360x240/738995/738995_5983918.webp,2014.0,72000.0,gasolina,automatica_secuencial,Lima,rojo,,tela,1800.0,10.0
CHEVROLET,TRACKER,otros,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/725991/725991_7061622.webp,2014.0,130000.0,gasolina,mecanica,Lima,negro,4.0,cuero,1800.0,10.0
VOLKSWAGEN,CC,otros,USD,10000.0,https://cde.neoauto.pe/autos_usados/360x240/739976/739976_3716897.webp,2012.0,122000.0,gasolina,automatica_secuencial,Lima,azul,4.0,cuero,1800.0,12.0
MAZDA,CX-5,4x2,USD,13900.0,https://cde.neoauto.pe/autos_usados/360x240/351316/351316_6389274.webp,2015.0,74000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,tela,2000.0,9.0
VOLVO,XC-40,4x2,USD,41000.0,https://cde.neoauto.pe/autos_usados/360x240/712443/712443_7264973.webp,2023.0,7900.0,otros,automatica,Lima,negro,4.0,cuero,1969.0,1.0
BMW,M4,otros,USD,53900.0,https://cde.neoauto.pe/autos_usados/360x240/260126/260126_2003819.webp,2015.0,35000.0,gasolina,automatica_secuencial,Lima,Otro,6.0,cuero,3000.0,9.0
SUBARU,FORESTER,otros,USD,28700.0,https://cde.neoauto.pe/autos_usados/360x240/20113/20113_8581738.webp,2020.0,28500.0,gasolina,automatica,Lima,blanco,4.0,tela,2000.0,4.0
CHEVROLET,N400,4x2,USD,10000.0,https://cde.neoauto.pe/autos_usados/360x240/740016/740016_7773316.webp,2022.0,60000.0,dual,mecanica,Lima,blanco,4.0,tela,1500.0,2.0
MAZDA,CX-5,4x2,USD,28000.0,https://cde.neoauto.pe/autos_usados/360x240/710247/710247_1031440.webp,2023.0,7100.0,gasolina,mecanica,Lima,blanco,4.0,tela,2000.0,1.0
AUDI,Q3,otros,USD,27900.0,https://cde.neoauto.pe/autos_usados/360x240/506994/506994_6461503.webp,2020.0,57900.0,gasolina,automatica_secuencial,Lima,azul,4.0,cuero,1395.0,4.0
FORD,F-150,4x4,USD,47500.0,https://cde.neoauto.pe/autos_usados/360x240/713975/713975_1379326.webp,2023.0,16000.0,gasolina,automatica_secuencial,Provincias,blanco,6.0,cuero,3500.0,1.0
JEEP,COMPASS,4x2,USD,31500.0,https://cde.neoauto.pe/autos_usados/360x240/170630/170630_6199154.webp,2024.0,4500.0,gasolina,automatica_secuencial,Lima,negro,4.0,tela,1330.0,0.0
FORD,F-150,otros,USD,33000.0,https://cde.neoauto.pe/autos_usados/360x240/739938/739938_5420944.webp,2020.0,79000.0,gasolina,automatica,Lima,gris,6.0,tela,3300.0,4.0
FORD,EXPLORER,4x4,USD,18000.0,https://cde.neoauto.pe/autos_usados/360x240/302038/302038_6733942.webp,2014.0,89000.0,gasolina,automatica,Lima,blanco,6.0,tela,,10.0
CHEVROLET,CAPTIVA,4x2,USD,17750.0,https://cde.neoauto.pe/autos_usados/360x240/670534/670534_9971582.webp,2020.0,30000.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,1451.0,4.0
MERCEDES BENZ,C-200,otros,USD,24550.0,https://cde.neoauto.pe/autos_usados/360x240/254322/254322_9923919.webp,2019.0,23350.0,gasolina,automatica_secuencial,Provincias,blanco,4.0,cuero,2000.0,5.0
JEEP,GRAND CHEROKEE LIMITED,4x4,USD,46000.0,https://cde.neoauto.pe/autos_usados/360x240/697986/697986_6551837.webp,2021.0,7500.0,gasolina,automatica_secuencial,Provincias,negro,6.0,cuero,3600.0,3.0
MAZDA,3,4x2,USD,19700.0,https://cde.neoauto.pe/autos_usados/360x240/348043/348043_5687353.webp,2023.0,35000.0,gasolina,automatica,Lima,azul,4.0,tela,,1.0
HYUNDAI,SANTA FE,otros,USD,10800.0,https://cde.neoauto.pe/autos_usados/360x240/335942/335942_1476524.webp,2010.0,97000.0,gasolina,automatica,Lima,blanco,4.0,tela,2400.0,14.0
DODGE,DURANGO,4x2,USD,22000.0,https://cde.neoauto.pe/autos_usados/360x240/179707/179707_1178540.webp,2016.0,82700.0,gasolina,automatica_secuencial,Lima,Otro,6.0,cuero,3600.0,8.0
TOYOTA,TACOMA,4x4,USD,25000.0,https://cde.neoauto.pe/autos_usados/360x240/739790/739790_3628213.webp,2011.0,140000.0,gas_glp,automatica_secuencial,Lima,negro,6.0,tela,4000.0,13.0
KIA,SPORTAGE,4x2,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/132275/132275_4932909.webp,2010.0,110000.0,gasolina,mecanica,Lima,rojo,4.0,tela,2000.0,14.0
FORD,FIESTA,4x2,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/739902/739902_7289388.webp,2017.0,34000.0,dual,automatica_secuencial,Lima,negro,4.0,tela,1600.0,7.0
MAZDA,BT-50,4x4,USD,25000.0,https://cde.neoauto.pe/autos_usados/360x240/560413/560413_4957022.webp,2021.0,80100.0,diesel,mecanica,Lima,azul,5.0,cuero,3200.0,3.0
SUBARU,FORESTER,otros,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/128928/128928_9346719.webp,2013.0,120300.0,dual,automatica_secuencial,Lima,marron,4.0,tela,2500.0,11.0
HYUNDAI,ACCENT,delantera,USD,10500.0,https://cde.neoauto.pe/autos_usados/360x240/739865/739865_4552622.webp,2018.0,110500.0,dual,mecanica,Lima,negro,4.0,tela,1600.0,6.0
BMW,120i,posterior,USD,9900.0,https://cde.neoauto.pe/autos_usados/360x240/121873/121873_2726219.webp,2008.0,102000.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,16.0
DODGE,DURANGO,4x2,USD,39900.0,https://cde.neoauto.pe/autos_usados/360x240/147848/147848_9884581.webp,2022.0,35000.0,gasolina,automatica_secuencial,Lima,negro,6.0,cuero,3600.0,2.0
AUDI,A3 SEDAN,otros,USD,19900.0,https://cde.neoauto.pe/autos_usados/360x240/210150/210150_1851314.webp,2016.0,17500.0,gasolina,automatica_secuencial,Lima,plata,4.0,cuero,1200.0,8.0
BMW,M3,posterior,USD,28500.0,https://cde.neoauto.pe/autos_usados/360x240/739846/739846_1291347.webp,2003.0,120000.0,gasolina,mecanica,Lima,azul,6.0,tela,3200.0,21.0
JEEP,Cherokee Longitude,4x2,USD,22700.0,https://cde.neoauto.pe/autos_usados/360x240/179884/179884_4351328.webp,2019.0,49500.0,gasolina,automatica,Lima,plata,4.0,cuero,2360.0,5.0
MERCEDES BENZ,200,4x2,USD,21500.0,https://cde.neoauto.pe/autos_usados/360x240/462685/462685_1624563.webp,2016.0,34500.0,gasolina,automatica,Lima,gris,4.0,tela,2000.0,8.0
FORD,RANGER,4x2,USD,26300.0,https://cde.neoauto.pe/autos_usados/360x240/483433/483433_4144826.webp,2023.0,18500.0,diesel,mecanica,Lima,plata,4.0,tela,2200.0,1.0
FORD,EXPLORER,4x2,USD,33000.0,https://cde.neoauto.pe/autos_usados/360x240/739244/739244_3500625.webp,2020.0,40000.0,,automatica_secuencial,Lima,blanco,,tela,3500.0,4.0
NISSAN,QASHQAI,4x2,USD,19000.0,https://cde.neoauto.pe/autos_usados/360x240/482919/482919_8334409.webp,2019.0,9000.0,gasolina,mecanica,Lima,blanco,4.0,tela,2000.0,5.0
TOYOTA,LAND CRUISER PRADO,otros,USD,23000.0,https://cde.neoauto.pe/autos_usados/360x240/204592/204592_9277209.webp,2013.0,89000.0,gasolina,automatica,Lima,gris,4.0,cuero,3500.0,11.0
MERCEDES BENZ,C-200,otros,USD,26000.0,https://cde.neoauto.pe/autos_usados/360x240/181695/181695_9145576.webp,2018.0,53000.0,gasolina,automatica_secuencial,Lima,plata,4.0,cuero,200.0,6.0
JETOUR,X70,4x2,USD,20000.0,https://cde.neoauto.pe/autos_usados/360x240/734586/734586_1011650.webp,2022.0,65000.0,gas_gnv,automatica,Lima,azul,4.0,tela,1700.0,2.0
BMW,520-i,otros,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/231516/231516_9439265.webp,2016.0,59800.0,gasolina,automatica_secuencial,Lima,Otro,,cuero,1997.0,8.0
FORD,EDGE SEL,4x2,USD,20500.0,https://cde.neoauto.pe/autos_usados/360x240/725093/725093_9812347.webp,2018.0,15325.0,gasolina,automatica_secuencial,Lima,plata,4.0,cuero,2000.0,6.0
JAGUAR,XE,4x2,USD,27500.0,https://cde.neoauto.pe/autos_usados/360x240/737012/737012_6842587.webp,2018.0,17000.0,gasolina,automatica_secuencial,Lima,plata,4.0,cuero,2000.0,6.0
TOYOTA,FORTUNER,4x2,USD,35500.0,https://cde.neoauto.pe/autos_usados/360x240/394304/394304_1188588.webp,2023.0,31000.0,gasolina,mecanica,Lima,negro,4.0,tela,2700.0,1.0
KIA,SORENTO,4x4,USD,19900.0,https://cde.neoauto.pe/autos_usados/360x240/352984/352984_5219148.webp,2016.0,61230.0,gasolina,automatica_secuencial,Lima,gris,,tela,3300.0,8.0
HONDA,ACCORD,otros,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/739736/739736_1155498.webp,2014.0,77800.0,gasolina,automatica,Lima,gris,6.0,tela,3.0,10.0
HONDA,ACCORD,otros,USD,26700.0,https://cde.neoauto.pe/autos_usados/360x240/691706/691706_9139032.webp,2018.0,60000.0,gasolina,automatica_secuencial,Lima,blanco,4.0,tela,4.0,6.0
TOYOTA,RAV4,4x2,USD,24500.0,https://cde.neoauto.pe/autos_usados/360x240/163182/163182_4021658.webp,2019.0,48000.0,gasolina,automatica_secuencial,Lima,plata,,cuero,2000.0,5.0
HONDA,CR-V,4x2,USD,14500.0,https://cde.neoauto.pe/autos_usados/360x240/739655/739655_2742516.webp,2015.0,166000.0,gasolina,automatica_secuencial,Lima,gris,4.0,cuero,2354.0,9.0
JEEP,GRAND CHEROKEE OVERLAND,otros,USD,24500.0,https://cde.neoauto.pe/autos_usados/360x240/119365/119365_1795985.webp,2011.0,151000.0,gasolina,automatica,Lima,gris,8.0,tela,5700.0,13.0
HAVAL,ALL NEW H6,4x2,USD,19900.0,https://cde.neoauto.pe/autos_usados/360x240/739676/739676_8579789.webp,2022.0,29000.0,gasolina,automatica,Lima,blanco,4.0,tela,2.0,2.0
TOYOTA,4RUNNER,otros,USD,33000.0,https://cde.neoauto.pe/autos_usados/360x240/739719/739719_3019625.webp,2016.0,103000.0,gasolina,automatica_secuencial,Lima,gris,6.0,tela,4000.0,8.0
JEEP,GRAND CHEROKEE LAREDO,4x2,USD,8900.0,https://cde.neoauto.pe/autos_usados/360x240/509055/509055_2709359.webp,2010.0,180000.0,gasolina,automatica_secuencial,Lima,negro,6.0,cuero,3700.0,14.0
CHANGAN,PICK UP,4x2,USD,16800.0,https://cde.neoauto.pe/autos_usados/360x240/304635/304635_8072217.webp,2022.0,15000.0,diesel,mecanica,Lima,blanco,4.0,tela,1900.0,2.0
HYUNDAI,SANTA FE,otros,USD,10800.0,https://cde.neoauto.pe/autos_usados/360x240/739694/739694_8144680.webp,2010.0,127000.0,dual,mecanica,Lima,gris,4.0,cuero,2400.0,14.0
TOYOTA,LAND CRUISER PRADO,otros,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/739719/739719_9219112.webp,2008.0,112000.0,gas_glp,mecanica,Lima,negro,6.0,tela,4000.0,16.0
LEXUS,NX 300h,4x4,USD,34900.0,https://cde.neoauto.pe/autos_usados/360x240/727631/727631_4544771.webp,2019.0,42500.0,otros,automatica_secuencial,Lima,Otro,,tela,2500.0,5.0
HONDA,CR-V,4x2,USD,31500.0,https://cde.neoauto.pe/autos_usados/360x240/739636/739636_2384433.webp,2021.0,47000.0,gasolina,automatica_secuencial,Provincias,plata,4.0,tela,1500.0,3.0
TOYOTA,LAND CRUISER PRADO,otros,USD,41500.0,https://cde.neoauto.pe/autos_usados/360x240/118522/118522_7190005.webp,2019.0,37000.0,gasolina,mecanica,Lima,gris,4.0,tela,2700.0,5.0
HONDA,HR-V,otros,USD,16200.0,https://cde.neoauto.pe/autos_usados/360x240/406101/406101_8613546.webp,2016.0,48000.0,gasolina,automatica,Lima,negro,4.0,cuero,,8.0
