Age,Brands,Cilinder,Color,Currency,Engine,Fuel_type,KM,Location,Models,Price,Transmission,Upholstery,Urlpic,Version,Year
3.0,VOLKSWAGEN,4.0,blanco,USD,1400.0,gasolina,25000.0,Lima,TIGUAN ALLSPACE,23500.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/647708/647708_7319728.webp,delantera,2021.0
5.0,MAZDA,4.0,blanco,USD,2000.0,gasolina,31600.0,Lima,CX-5,19500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/718416/718416_8381254.webp,otros,2019.0
6.0,NISSAN,,rojo,USD,1600.0,gasolina,61733.0,Lima,KICKS,16000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6965696.webp,otros,2018.0
5.0,NISSAN,,gris,USD,2000.0,gasolina,55656.0,Lima,QASHQAI,21000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6810619.webp,4x4,2019.0
3.0,CHEVROLET,,gris,USD,1200.0,gasolina,38265.0,Lima,TRACKER,15500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2240449.webp,4x2,2021.0
4.0,NISSAN,,gris,USD,2500.0,diesel,70331.0,Lima,FRONTIER,20500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2748497.webp,4x2,2020.0
7.0,MITSUBISHI,,blanco,USD,2000.0,gasolina,77823.0,Lima,OUTLANDER,17500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_4129781.webp,4x2,2017.0
6.0,MAZDA,4.0,blanco,USD,2000.0,gasolina,67000.0,Provincias,CX-3,15500.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/742996/742996_6438247.webp,otros,2018.0
5.0,CHEVROLET,4.0,plata,USD,1800.0,dual,60200.0,Lima,TRACKER,13500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/72317/72317_6799246.webp,otros,2019.0
12.0,AUDI,4.0,gris,USD,2000.0,gasolina,83000.0,Lima,Q5,15900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/565310/565310_7179172.webp,otros,2012.0
8.0,PORSCHE,6.0,otros,USD,3000.0,gasolina,46000.0,Lima,MACAN S,35000.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/394772/394772_5382594.webp,otros,2016.0
11.0,VOLKSWAGEN,4.0,gris,USD,2000.0,gasolina,78414.0,Lima,TIGUAN,12500.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/685669/685669_3575411.webp,4x4,2013.0
12.0,MITSUBISHI,4.0,blanco,USD,1998.0,gasolina,68000.0,Provincias,ASX,9700.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/732244/732244_2589719.webp,4x2,2012.0
12.0,HONDA,6.0,marron,USD,3400.0,gasolina,142000.0,Lima,PILOT,13800.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/523774/523774_1601060.webp,premium,2012.0
4.0,PEUGEOT,4.0,blanco,USD,1600.0,gasolina,32000.0,Lima,3008,26500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/742121/742121_3172160.webp,4x2,2020.0
7.0,SUBARU,4.0,azul,USD,2000.0,gasolina,36000.0,Lima,IMPREZA,17500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/261607/261607_4968049.webp,otros,2017.0
7.0,CHEVROLET,4.0,blanco,USD,1796.0,gasolina,53876.0,Lima,SPIN,11900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4846142.webp,premium,2017.0
1.0,HYUNDAI,4.0,plata,USD,2000.0,gas_glp,17199.0,Lima,TUCSON,29500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_9942259.webp,4x2,2023.0
6.0,PEUGEOT,4.0,blanco,USD,1199.0,gasolina,61243.0,Lima,208,11700.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_9734663.webp,4x2,2018.0
0.0,KIA,,rojo,USD,1500.0,gasolina,2000.0,Lima,SONET,16900.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_8749903.webp,4x2,2024.0
1.0,HYUNDAI,4.0,plata,USD,2000.0,gas_glp,9400.0,Lima,TUCSON,24000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/179908/179908_7093802.webp,4x2,2023.0
1.0,MAZDA,4.0,rojo,USD,2000.0,gasolina,15570.0,Lima,CX-5,34900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5520031.webp,4x4,2023.0
2.0,HYUNDAI,,blanco,USD,,gasolina,25800.0,Lima,I20 HB,18000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_6462729.webp,otros,2022.0
4.0,GEELY,,gris,USD,,gas_glp,44500.0,Lima,GX3,9900.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7850841.webp,otros,2020.0
4.0,CITROEN,,otros,USD,1600.0,gasolina,25257.0,Lima,C5 AIRCROSS,19000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_3459791.webp,4x2,2020.0
2.0,SUZUKI,,azul,USD,1400.0,gasolina,21598.0,Lima,BALENO,13500.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_1220476.webp,4x2,2022.0
6.0,TOYOTA,4.0,plata,USD,1800.0,gasolina,43029.0,Lima,COROLLA,16000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5772964.webp,4x2,2018.0
1.0,TOYOTA,4.0,plata,USD,2000.0,gasolina,15063.0,Lima,COROLLA CROSS,23000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_2770961.webp,4x2,2023.0
1.0,TOYOTA,3.0,plata,USD,1200.0,gasolina,10780.0,Lima,RAIZE,16400.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3510542.webp,4x2,2023.0
2.0,TOYOTA,4.0,blanco,USD,1500.0,gasolina,40437.0,Lima,RUSH,20500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_8178531.webp,4x2,2022.0
